Número_Código;Nome_Extenso
1;Banco do Brasil S.A.
70;BRB - BANCO DE BRASILIA S.A.
n/a;Banco Central do Brasil - Selic
n/a;Banco Central do Brasil
272;AGK CORRETORA DE CAMBIO S.A.
136;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI
104;CAIXA ECONOMICA FEDERAL
n/a;Secretaria do Tesouro Nacional - STN
77;Banco Inter S.A.
741;BANCO RIBEIRAO PRETO S.A.
330;BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.
739;Banco Cetelem S.A.
743;Banco Semear S.A.
100;Planner Corretora de Valores S.A.
96;Banco B3 S.A.
747;Banco Rabobank International Brasil S.A.
362;CIELO S.A.
322;Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz
748;BANCO COOPERATIVO SICREDI S.A.
350;COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE
752;Banco BNP Paribas Brasil S.A.
91;CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO S
379;COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU
399;Kirton Bank S.A. - Banco Múltiplo
108;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO
378;BBC LEASING S.A. - ARRENDAMENTO MERCANTIL
756;BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB
360;TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
757;BANCO KEB HANA DO BRASIL S.A.
102;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A
84;UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA
180;CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA
66;BANCO MORGAN STANLEY S.A.
15;UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.
143;Treviso Corretora de Câmbio S.A.
n/a;Câmara Interbancária de Pagamentos - CIP - LDL
62;Hipercard Banco Múltiplo S.A.
74;Banco J. Safra S.A.
99;UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.
387;Banco Toyota do Brasil S.A.
326;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.
25;Banco Alfa S.A.
315;PI Distribuidora de Títulos e Valores Mobiliários S.A.
75;Banco ABN Amro S.A.
40;Banco Cargill S.A.
307;Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.
190;SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRAN
296;VISION S.A. CORRETORA DE CAMBIO
63;Banco Bradescard S.A.
191;Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
382;FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L
64;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
n/a;Câmara Interbancária de Pagamentos
97;Credisis - Central de Cooperativas de Crédito Ltda.
16;COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI
299;SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.
12;Banco Inbursa S.A.
3;BANCO DA AMAZONIA S.A.
60;Confidence Corretora de Câmbio S.A.
37;Banco do Estado do Pará S.A.
359;ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A
159;Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor
85;Cooperativa Central de Crédito - Ailos
114;Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP
36;Banco Bradesco BBI S.A.
394;Banco Bradesco Financiamentos S.A.
4;Banco do Nordeste do Brasil S.A.
320;China Construction Bank (Brasil) Banco Múltiplo S/A
189;HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS
105;Lecca Crédito, Financiamento e Investimento S/A
76;Banco KDB do Brasil S.A.
82;BANCO TOPÁZIO S.A.
312;HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT
286;COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO
93;PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT
391;COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
273;Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel
368;Banco CSF S.A.
290;Pagseguro Internet S.A.
259;MONEYCORP BANCO DE CÂMBIO S.A.
395;F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
364;GERENCIANET S.A.
157;ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.
183;SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P
14;STATE STREET BRASIL S.A. ? BANCO COMERCIAL
130;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO
358;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO
127;Codepe Corretora de Valores e Câmbio S.A.
79;Banco Original do Agronegócio S.A.
340;Super Pagamentos e Administração de Meios Eletrônicos S.A.
81;BancoSeguro S.A.
133;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E
323;MERCADOPAGO.COM REPRESENTACOES LTDA.
121;Banco Agibank S.A.
83;Banco da China Brasil S.A.
138;Get Money Corretora de Câmbio S.A.
24;Banco Bandepe S.A.
384;GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO
88;BANCO RANDON S.A.
319;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
274;MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT
95;Travelex Banco de Câmbio S.A.
94;Banco Finaxis S.A.
276;BANCO SENFF S.A.
92;BRK S.A. Crédito, Financiamento e Investimento
47;Banco do Estado de Sergipe S.A.
144;BEXS BANCO DE CÂMBIO S/A
332;Acesso Soluções de Pagamento S.A.
126;BR Partners Banco de Investimento S.A.
325;Órama Distribuidora de Títulos e Valores Mobiliários S.A.
301;BPP Instituição de Pagamento S.A.
173;BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.
331;Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.
119;Banco Western Union do Brasil S.A.
